region_code,region_name,year,value,gender,nationality,age_group,notes
05112,Duisburg,2001,30841.0000,total,total,,
05112,Duisburg,2002,31621.0000,total,total,,
05112,Duisburg,2003,33052.0000,total,total,,
05112,Duisburg,2004,33651.0000,total,total,,
05112,Duisburg,2005,41314.0000,total,total,,
05112,Duisburg,2006,38722.0000,total,total,,
05112,Duisburg,2007,34098.0000,total,total,,
05112,Duisburg,2008,30903.0000,total,total,,
05112,Duisburg,2009,31714.0000,total,total,,
05112,Duisburg,2010,32029.0000,total,total,,
05112,Duisburg,2011,31808.0000,total,total,,
05112,Duisburg,2012,31228.0000,total,total,,
05112,Duisburg,2013,31556.0000,total,total,,
05112,Duisburg,2014,32322.0000,total,total,,
05112,Duisburg,2015,32605.0000,total,total,,
05112,Duisburg,2016,32330.0000,total,total,,
05112,Duisburg,2017,31309.0000,total,total,,
05112,Duisburg,2018,29072.0000,total,total,,
05112,Duisburg,2019,27831.0000,total,total,,
05112,Duisburg,2020,31324.0000,total,total,,
05112,Duisburg,2021,31833.0000,total,total,,
05112,Duisburg,2022,31597.0000,total,total,,
05112,Duisburg,2023,33439.0000,total,total,,
05112,Duisburg,2024,33840.0000,total,total,,
05113,Essen,2001,30576.0000,total,total,,
05113,Essen,2002,32114.0000,total,total,,
05113,Essen,2003,33303.0000,total,total,,
05113,Essen,2004,33922.0000,total,total,,
05113,Essen,2005,45138.0000,total,total,,
05113,Essen,2006,42943.0000,total,total,,
05113,Essen,2007,38225.0000,total,total,,
05113,Essen,2008,34726.0000,total,total,,
05113,Essen,2009,34632.0000,total,total,,
05113,Essen,2010,34088.0000,total,total,,
05113,Essen,2011,33997.0000,total,total,,
05113,Essen,2012,35644.0000,total,total,,
05113,Essen,2013,35896.0000,total,total,,
05113,Essen,2014,35882.0000,total,total,,
05113,Essen,2015,35272.0000,total,total,,
05113,Essen,2016,34867.0000,total,total,,
05113,Essen,2017,33699.0000,total,total,,
05113,Essen,2018,31745.0000,total,total,,
05113,Essen,2019,30749.0000,total,total,,
05113,Essen,2020,33387.0000,total,total,,
05113,Essen,2021,32551.0000,total,total,,
05113,Essen,2022,30069.0000,total,total,,
05113,Essen,2023,31830.0000,total,total,,
05113,Essen,2024,32960.0000,total,total,,
05513,Münster,2001,19369.0000,total,total,,
05513,Münster,2002,20107.0000,total,total,,
05513,Münster,2003,21182.0000,total,total,,
05513,Münster,2004,22193.0000,total,total,,
05513,Münster,2005,28903.0000,total,total,,
05513,Münster,2006,25546.0000,total,total,,
05513,Münster,2007,21489.0000,total,total,,
05513,Münster,2008,19126.0000,total,total,,
05513,Münster,2009,18831.0000,total,total,,
05513,Münster,2010,17868.0000,total,total,,
05513,Münster,2011,17617.0000,total,total,,
05513,Münster,2012,17737.0000,total,total,,
05513,Münster,2013,17947.0000,total,total,,
05513,Münster,2014,18344.0000,total,total,,
05513,Münster,2015,18445.0000,total,total,,
05513,Münster,2016,18521.0000,total,total,,
05513,Münster,2017,17766.0000,total,total,,
05513,Münster,2018,16917.0000,total,total,,
05513,Münster,2019,16616.0000,total,total,,
05513,Münster,2020,19357.0000,total,total,,
05513,Münster,2021,19452.0000,total,total,,
05513,Münster,2022,18528.0000,total,total,,
05513,Münster,2023,19357.0000,total,total,,
05513,Münster,2024,19953.0000,total,total,,
05911,Bochum,2001,19792.0000,total,total,,
05911,Bochum,2002,20171.0000,total,total,,
05911,Bochum,2003,22150.0000,total,total,,
05911,Bochum,2004,22387.0000,total,total,,
05911,Bochum,2005,26448.0000,total,total,,
05911,Bochum,2006,25102.0000,total,total,,
05911,Bochum,2007,21259.0000,total,total,,
05911,Bochum,2008,18262.0000,total,total,,
05911,Bochum,2009,18819.0000,total,total,,
05911,Bochum,2010,18087.0000,total,total,,
05911,Bochum,2011,17977.0000,total,total,,
05911,Bochum,2012,18083.0000,total,total,,
05911,Bochum,2013,19114.0000,total,total,,
05911,Bochum,2014,18837.0000,total,total,,
05911,Bochum,2015,18556.0000,total,total,,
05911,Bochum,2016,18891.0000,total,total,,
05911,Bochum,2017,18392.0000,total,total,,
05911,Bochum,2018,16984.0000,total,total,,
05911,Bochum,2019,16300.0000,total,total,,
05911,Bochum,2020,18193.0000,total,total,,
05911,Bochum,2021,17821.0000,total,total,,
05911,Bochum,2022,16733.0000,total,total,,
05911,Bochum,2023,16961.0000,total,total,,
05911,Bochum,2024,17844.0000,total,total,,
05913,Dortmund,2001,36974.0000,total,total,,
05913,Dortmund,2002,37590.0000,total,total,,
05913,Dortmund,2003,39992.0000,total,total,,
05913,Dortmund,2004,42236.0000,total,total,,
05913,Dortmund,2005,49911.0000,total,total,,
05913,Dortmund,2006,47966.0000,total,total,,
05913,Dortmund,2007,40870.0000,total,total,,
05913,Dortmund,2008,38492.0000,total,total,,
05913,Dortmund,2009,37292.0000,total,total,,
05913,Dortmund,2010,37009.0000,total,total,,
05913,Dortmund,2011,36329.0000,total,total,,
05913,Dortmund,2012,37469.0000,total,total,,
05913,Dortmund,2013,38512.0000,total,total,,
05913,Dortmund,2014,37956.0000,total,total,,
05913,Dortmund,2015,37414.0000,total,total,,
05913,Dortmund,2016,35940.0000,total,total,,
05913,Dortmund,2017,34100.0000,total,total,,
05913,Dortmund,2018,32033.0000,total,total,,
05913,Dortmund,2019,31870.0000,total,total,,
05913,Dortmund,2020,36213.0000,total,total,,
05913,Dortmund,2021,36561.0000,total,total,,
05913,Dortmund,2022,34843.0000,total,total,,
05913,Dortmund,2023,37080.0000,total,total,,
05913,Dortmund,2024,38320.0000,total,total,,
